date - Annee,date - Trimestre,date - Mois,date - Jour,away_score,away_team,city,comp_sorted,competition.1,competition.2,country,full_score,home_score,home_team,neutral,score_difference,stadium,total_score,winner,world_cup
1871,Trim 1,mars,27,0,England,Edinburgh,Scotland v England International,1871,Scotland v England International,Scotland,1 - 0,1,Scotland,0,1,Raeburn Place,1,Scotland,0
1872,Trim 1,fevrier,5,1,Scotland,London,Home Nations,1871e72,Home Nations International,England,2 - 1,2,England,0,1,The Oval,3,England,0
1873,Trim 1,mars,3,0,England,Glasgow,Home Nations,1872e73,Home Nations International,Scotland,0 - 0,0,Scotland,0,0,West of Scotland F.C.,0,Draw,0
1874,Trim 1,fevrier,23,0,Scotland,London,Home Nations,1873e74,Home Nations International,England,1 - 0,1,England,0,1,The Oval,1,England,0
1875,Trim 1,fevrier,15,0,Ireland,London,Home Nations,1874e75,Home Nations rugby union matches,England,2 - 0,2,England,0,2,The Oval,2,England,0
1875,Trim 1,mars,8,0,England,Edinburgh,Home Nations,1874e75,Home Nations International,Scotland,0 - 0,0,Scotland,0,0,Raeburn Place,0,Draw,0
1875,Trim 4,decembre,13,1,England,Dublin,Home Nations,1875e76,Home Nations rugby union matches,Ireland,0 - 1,0,Ireland,0,-1,Rathmines,1,England,0
1876,Trim 1,mars,6,0,Scotland,London,Home Nations,1875e76,Home Nations International,England,1 - 0,1,England,0,1,The Oval,1,England,0
1877,Trim 1,fevrier,5,0,Ireland,London,Home Nations,1876e77,Home Nations rugby union matches,England,2 - 0,2,England,0,2,The Oval,2,England,0
1877,Trim 1,fevrier,19,6,Scotland,Belfast,Home Nations,1876e77,Home Nations rugby union matches,Ireland,0 - 6,0,Ireland,0,-6,Ormeau Cricket Ground,6,Scotland,0
1877,Trim 1,mars,5,0,England,Edinburgh,Home Nations,1876e77,Home Nations International,Scotland,1 - 0,1,Scotland,0,1,Raeburn Place,1,Scotland,0
1878,Trim 1,mars,4,0,Scotland,London,Home Nations,1877e78,Home Nations International,England,0 - 0,0,England,0,0,The Oval,0,Draw,0
1878,Trim 1,mars,11,2,England,Dublin,Home Nations,1877e78,Home Nations rugby union matches,Ireland,0 - 2,0,Ireland,0,-2,Lansdowne Road,2,England,0
1879,Trim 1,fevrier,17,2,Scotland,Belfast,Home Nations,1878e79,Home Nations rugby union matches,Ireland,0 - 2,0,Ireland,0,-2,Ormeau Cricket Ground,2,Scotland,0
1879,Trim 1,mars,10,1,England,Edinburgh,Home Nations,1878e79,Home Nations International,Scotland,1 - 1,1,Scotland,0,0,Raeburn Place,2,Draw,0
1879,Trim 1,mars,24,0,Ireland,London,Home Nations,1878e79,Home Nations rugby union matches,England,3 - 0,3,England,0,3,The Oval,3,England,0
1880,Trim 1,janvier,30,1,England,Dublin,Home Nations,1879e80,Home Nations rugby union matches,Ireland,0 - 1,0,Ireland,0,-1,Lansdowne Road,1,England,0
1880,Trim 1,fevrier,14,0,Ireland,Glasgow,Home Nations,1879e80,Home Nations rugby union matches,Scotland,3 - 0,3,Scotland,0,3,Hamilton Crescent,3,Scotland,0
1880,Trim 1,fevrier,28,1,Scotland,Manchester,Home Nations,1879e80,Home Nations International,England,2 - 1,2,England,0,1,Whalley Range,3,England,0
1881,Trim 1,fevrier,10,0,Ireland,Manchester,Home Nations,1880e81,Home Nations rugby union matches,England,2 - 0,2,England,0,2,Whalley Range,2,England,0
1881,Trim 1,fevrier,19,0,Scotland,Belfast,Home Nations,1880e81,Home Nations rugby union matches,Ireland,1 - 0,1,Ireland,0,1,Ormeau Cricket Ground,1,Ireland,0
1881,Trim 1,fevrier,19,0,Wales,Blackheath,tour,,tour,England,8 - 0,8,England,0,8,Richardson's Field,8,England,0
1881,Trim 1,mars,19,1,England,Edinburgh,Home Nations,1880e81,Home Nations International,Scotland,1 - 1,1,Scotland,0,0,Raeburn Place,2,Draw,0
1882,Trim 1,janvier,28,2,Wales,Dublin,Home Nations,1881e82,Home Nations rugby union matches,Ireland,0 - 2,0,Ireland,0,-2,Lansdowne Road,2,Wales,0
1882,Trim 1,fevrier,6,0,England,Dublin,Home Nations,1881e82,Home Nations rugby union matches,Ireland,0 - 0,0,Ireland,0,0,Lansdowne Road,0,Draw,0
1882,Trim 1,fevrier,18,0,Ireland,Glasgow,Home Nations,1881e82,Home Nations rugby union matches,Scotland,1 - 0,1,Scotland,0,1,Hamilton Crescent,1,Scotland,0
1882,Trim 1,mars,4,1,Scotland,Manchester,Home Nations,1881e82,Home Nations International,England,0 - 1,0,England,0,-1,Whalley Range,1,Scotland,0
1882,Trim 4,decembre,16,2,England,Swansea,Home Nations,1883,Home Nations Championship,Wales,0 - 2,0,Wales,0,-2,St Helen's,2,England,0
1883,Trim 1,janvier,8,1,Wales,Edinburgh,Home Nations,1883,Home Nations Championship,Scotland,3 - 1,3,Scotland,0,2,Raeburn Place,4,Scotland,0
1883,Trim 1,fevrier,10,0,Ireland,Manchester,Home Nations,1883,Home Nations Championship,England,1 - 0,1,England,0,1,Whalley Range,1,England,0
1883,Trim 1,fevrier,17,1,Scotland,Belfast,Home Nations,1883,Home Nations Championship,Ireland,0 - 1,0,Ireland,0,-1,Ormeau Cricket Ground,1,Scotland,0
1883,Trim 1,mars,3,1,England,Edinburgh,Home Nations,1883,Home Nations Championship,Scotland,0 - 1,0,Scotland,0,-1,Raeburn Place,1,England,0
1884,Trim 1,janvier,5,1,Wales,Leeds,Home Nations,1884,Home Nations Championship,England,2 - 1,2,England,0,1,Cardigan Fields,3,England,0
1884,Trim 1,janvier,12,1,Scotland,Newport,Home Nations,1884,Home Nations Championship,Wales,0 - 1,0,Wales,0,-1,Rodney Parade,1,Scotland,0
1884,Trim 1,fevrier,4,1,England,Dublin,Home Nations,1884,Home Nations Championship,Ireland,0 - 1,0,Ireland,0,-1,Lansdowne Road,1,England,0
1884,Trim 1,fevrier,16,0,Ireland,Glasgow,Home Nations,1884,Home Nations Championship,Scotland,2 - 0,2,Scotland,0,2,Hamilton Crescent,2,Scotland,0
1884,Trim 1,mars,1,0,Scotland,Blackheath,Home Nations,1884,Home Nations Championship,England,1 - 0,1,England,0,1,Rectory Field,1,England,0
1884,Trim 2,avril,12,0,Ireland,Cardiff,Home Nations,1884,Home Nations Championship,Wales,1 - 0,1,Wales,0,1,National Stadium,1,Wales,0
1885,Trim 1,janvier,3,2,England,Swansea,Home Nations,1885,Home Nations Championship,Wales,1 - 2,1,Wales,0,-1,St Helen's,3,England,0
1885,Trim 1,janvier,10,0,Wales,Glasgow,Home Nations,1885,Home Nations Championship,Scotland,0 - 0,0,Scotland,0,0,Hamilton Crescent,0,Draw,0
1885,Trim 1,fevrier,7,0,Ireland,Manchester,Home Nations,1885,Home Nations Championship,England,1 - 0,1,England,0,1,Whalley Range,1,England,0
1885,Trim 1,mars,7,0,Ireland,Edinburgh,Home Nations,1885,Home Nations Championship,Scotland,1 - 0,1,Scotland,0,1,Raeburn Place,1,Scotland,0
1886,Trim 1,janvier,2,1,Wales,Blackheath,Home Nations,1886,Home Nations Championship,England,2 - 1,2,England,0,1,Rectory Field,3,England,0
1886,Trim 1,janvier,9,2,Scotland,Cardiff,Home Nations,1886,Home Nations Championship,Wales,0 - 2,0,Wales,0,-2,National Stadium,2,Scotland,0
1886,Trim 1,fevrier,6,1,England,Dublin,Home Nations,1886,Home Nations Championship,Ireland,0 - 1,0,Ireland,0,-1,Lansdowne Road,1,England,0
1886,Trim 1,fevrier,20,0,Ireland,Edinburgh,Home Nations,1886,Home Nations Championship,Scotland,4 - 0,4,Scotland,0,4,Raeburn Place,4,Scotland,0
1886,Trim 1,mars,13,0,England,Edinburgh,Home Nations,1886,Home Nations Championship,Scotland,0 - 0,0,Scotland,0,0,Raeburn Place,0,Draw,0
1887,Trim 1,janvier,8,0,England,Llanelli,Home Nations,1887,Home Nations Championship,Wales,0 - 0,0,Wales,0,0,Stradey Park,0,Draw,0
1887,Trim 1,fevrier,5,0,England,Dublin,Home Nations,1887,Home Nations Championship,Ireland,2 - 0,2,Ireland,0,2,Lansdowne Road,2,Ireland,0
1887,Trim 1,fevrier,19,2,Scotland,Belfast,Home Nations,1887,Home Nations Championship,Ireland,0 - 2,0,Ireland,0,-2,Ormeau Cricket Ground,2,Scotland,0
1887,Trim 1,fevrier,26,0,Wales,Edinburgh,Home Nations,1887,Home Nations Championship,Scotland,4 - 0,4,Scotland,0,4,Raeburn Place,4,Scotland,0
1887,Trim 1,mars,5,0,Scotland,Manchester,Home Nations,1887,Home Nations Championship,England,0 - 0,0,England,0,0,Whalley Range,0,Draw,0
1887,Trim 1,mars,12,1,Ireland,Birkenhead,Home Nations,1887,Home Nations Championship,England,0 - 1,0,Wales,1,-1,Birkenhead Park,1,Ireland,0
1888,Trim 1,fevrier,4,0,Scotland,Newport,Home Nations,1888,Home Nations Championship,Wales,1 - 0,1,Wales,0,1,Rodney Parade,1,Wales,0
