team1,team2,score1,score2,odd_team1,oddDraw,odd_team2,time,date
Wales,Australia,40,6,,,,,24 Sep 2023
South Africa,Ireland,8,13,,,,,23 Sep 2023
South Africa,Scotland,18,3,,,,,10 Sep 2023
England,Argentina,27,10,,,,,9 Sep 2023
France,New Zealand,27,13,,,,,8 Sep 2023
France,Australia,41,17,,,,,27 Aou 2023
South Africa,New Zealand,35,7,,,,,25 Aou 2023
Wales,South Africa,16,52,,,,,19 Aou 2023
Ireland,England,29,10,,,,,19 Aou 2023
France,Scotland,30,27,,,,,12 Aou 2023
England,Wales,19,17,,,,,12 Aou 2023
Argentina,South Africa,13,24,,,,,5 Aou 2023
Scotland,France,25,21,,,,,5 Aou 2023
New Zealand,Australia,23,20,,,,,5 Aou 2023
Ireland,Italy,33,17,,,,,5 Aou 2023
Wales,England,20,9,,,,,5 Aou 2023
Australia,New Zealand,7,38,,,,,29 Jul 2023
South Africa,Argentina,22,21,,,,,29 Jul 2023
Australia,Argentina,31,34,,,,,15 Jul 2023
New Zealand,South Africa,35,20,,,,,15 Jul 2023
Argentina,New Zealand,12,41,,,,,8 Jul 2023
South Africa,Australia,43,12,,,,,8 Jul 2023
France,Wales,41,28,,,,,18 Mar 2023
Ireland,England,29,16,,,,,18 Mar 2023
Scotland,Italy,26,14,,,,,18 Mar 2023
Scotland,Ireland,7,22,,,,,12 Mar 2023
England,France,10,53,,,,,11 Mar 2023
Italy,Wales,17,29,,,,,11 Mar 2023
France,Scotland,32,21,,,,,26 Fev 2023
Italy,Ireland,20,34,,,,,25 Fev 2023
Wales,England,10,20,,,,,25 Fev 2023
England,Italy,31,14,,,,,12 Fev 2023
Ireland,France,32,19,,,,,11 Fev 2023
Scotland,Wales,35,7,,,,,11 Fev 2023
Italy,France,24,29,,,,,5 Fev 2023
Wales,Ireland,10,34,,,,,4 Fev 2023
England,Scotland,23,29,,,,,4 Fev 2023
Wales,Australia,34,39,,,,,26 Nov 2022
England,South Africa,13,27,,,,,26 Nov 2022
Italy,South Africa,21,63,,,,,19 Nov 2022
England,New Zealand,25,25,,,,,19 Nov 2022
Ireland,Australia,13,10,,,,,19 Nov 2022
Scotland,New Zealand,23,31,,,,,13 Nov 2022
Italy,Australia,28,27,,,,,12 Nov 2022
France,South Africa,30,26,,,,,12 Nov 2022
Wales,Argentina,20,13,,,,,12 Nov 2022
England,Argentina,29,30,,,,,6 Nov 2022
Wales,New Zealand,23,55,,,,,5 Nov 2022
France,Australia,30,29,,,,,5 Nov 2022
Ireland,South Africa,19,16,,,,,5 Nov 2022
Scotland,Australia,15,16,,,,,29 Oct 2022
South Africa,Argentina,38,21,,,,,24 Sep 2022
New Zealand,Australia,40,14,,,,,24 Sep 2022
Argentina,South Africa,20,36,,,,,17 Sep 2022
Australia,New Zealand,37,39,,,,,15 Sep 2022
Australia,South Africa,8,24,,,,,3 Sep 2022
New Zealand,Argentina,53,3,,,,,3 Sep 2022
New Zealand,Argentina,18,25,,,,,27 Aou 2022
